Academic Year,LSS Number,LSS Name,School Number,School Name,School Type,Attend Rate Pct,Days Attended Cnt,Days Member Cnt,Fewer 5 Pct,Fewer 5 Cnt,More 20 Pct,More 20 Cnt,More 90 Member Cnt,Chronic Absentee Cnt,Chronic Absentee Denom,Chronic Absentee Pct,Create Date
2019,30,Baltimore City,0205,Woodhome Elementary/Middle,Middle,93.0,14146.0,15211,36.4,39,16.8,18,107,28,123,22.8,20200117
2019,30,Baltimore City,0205,Woodhome Elementary/Middle,All Students,92.7,40106.0,43266,27.7,86,15.8,49,310,96,387,24.8,20200117
2019,30,Baltimore City,0206,Furley Elementary,Elementary,89.1,37507.0,42080,16.2,49,32.0,97,303,175,414,42.3,20200117
2019,30,Baltimore City,0207,Curtis Bay Elementary/Middle,Elementary,85.8,38427.5,44773,15.3,50,46.2,151,327,262,474,55.3,20200117
2019,30,Baltimore City,0207,Curtis Bay Elementary/Middle,Middle,85.0,16013.5,18840,13.0,18,47.8,66,138,88,155,56.8,20200117
2019,30,Baltimore City,0207,Curtis Bay Elementary/Middle,All Students,85.6,54441.0,63613,14.6,68,46.7,217,465,350,629,55.6,20200117
2019,30,Baltimore City,0210,Hazelwood Elementary/Middle,Elementary,90.6,27704.0,30586,28.5,61,22.0,47,214,93,286,32.5,20200117
2019,30,Baltimore City,0210,Hazelwood Elementary/Middle,Middle,88.8,21766.0,24522,22.8,39,28.7,49,171,99,208,47.6,20200117
2019,30,Baltimore City,0210,Hazelwood Elementary/Middle,All Students,89.8,49470.0,55108,26.0,100,24.9,96,385,192,494,38.9,20200117
2019,30,Baltimore City,0211,Gardenville Elementary,Elementary,91.2,29242.0,32075,21.6,50,33.2,77,232,122,303,40.3,20200117
2019,30,Baltimore City,0212,Garrett Heights Elementary/Middle,Elementary,88.3,17898.0,20268,20.5,30,37.7,55,146,84,207,40.6,20200117
2019,30,Baltimore City,0212,Garrett Heights Elementary/Middle,Middle,86.7,9118.5,10513,10.5,8,46.1,35,76,49,86,57.0,20200117
2019,30,Baltimore City,0212,Garrett Heights Elementary/Middle,All Students,87.8,27016.5,30781,17.1,38,40.5,90,222,133,293,45.4,20200117
2019,30,Baltimore City,0213,Govans Elementary,Elementary,91.2,40040.0,43886,16.6,53,33.8,108,320,171,390,43.8,20200117
