Year,LSS Number,LSS Name,School Number,School Name,Star Rating,Total Points Earned Percentage,Percentile Rank Elementary,Percentile Rank Middle,Percentile Rank High
2019,3,Baltimore County,205,Woodmoor Elementary,3,45,8,na,na
2019,3,Baltimore County,206,Scotts Branch Elementary,3,55,25,na,na
2019,3,Baltimore County,207,Church Lane Elementary Technology,3,54,24,na,na
2019,3,Baltimore County,209,Hebbville Elementary,3,55,27,na,na
2019,3,Baltimore County,210,Powhatan Elementary,3,57,33,na,na
2019,3,Baltimore County,211,Winfield Elementary,3,57,32,na,na
2019,3,Baltimore County,213,Winand Elementary,3,52,18,na,na
2019,3,Baltimore County,214,Hernwood Elementary,3,50,16,na,na
2019,3,Baltimore County,216,Deer Park Elementary,4,64,56,na,na
2019,3,Baltimore County,217,New Town Elementary,4,62,47,na,na
2019,3,Baltimore County,252,Northwest Academy of Health Sciences,2,39,na,13,na
2019,3,Baltimore County,253,Woodlawn Middle,3,50,na,40,na
2019,3,Baltimore County,254,Deer Park Middle Magnet School,3,45,na,26,na
2019,3,Baltimore County,256,Windsor Mill Middle,3,45,na,25,na
2019,3,Baltimore County,271,Milford Mill Academy,3,49,na,na,27
2019,3,Baltimore County,272,Randallstown High,3,48,na,na,26
2019,3,Baltimore County,303,Bedford Elementary,4,68,68,na,na
2019,3,Baltimore County,304,Wellwood International Elementary,3,58,34,na,na
2019,3,Baltimore County,307,Milbrook Elementary,3,50,15,na,na
2019,3,Baltimore County,308,Fort Garrison Elementary,5,77,90,na,na
2019,3,Baltimore County,310,Summit Park Elementary,4,71,75,na,na
2019,3,Baltimore County,311,Woodholme Elementary,3,55,26,na,na
2019,3,Baltimore County,352,Pikesville Middle,3,49,na,35,na
2019,3,Baltimore County,353,Sudbrook Magnet Middle,4,60,na,65,na
2019,3,Baltimore County,371,Pikesville High,4,65,na,na,63
2019,3,Baltimore County,402,Owings Mills Elementary,3,53,22,na,na
2019,3,Baltimore County,403,Franklin Elementary,5,77,89,na,na
2019,3,Baltimore County,404,Chatsworth School,3,59,36,na,na
2019,3,Baltimore County,405,Timber Grove Elementary,3,53,21,na,na
2019,3,Baltimore County,406,Reisterstown Elementary,3,50,15,na,na
2019,3,Baltimore County,407,Glyndon Elementary,3,46,10,na,na
2019,3,Baltimore County,408,Cedarmere Elementary,3,57,32,na,na
2019,3,Baltimore County,410,Lyons Mill Elementary,3,54,24,na,na
2019,3,Baltimore County,451,Franklin Middle,2,43,na,20,na
2019,3,Baltimore County,452,Owings Mills High,2,42,na,na,17
2019,3,Baltimore County,472,Franklin High,3,57,na,na,42
2019,3,Baltimore County,473,New Town High,3,56,na,na,38
2019,3,Baltimore County,501,Fifth District Elementary,5,86,99,na,na
2019,3,Baltimore County,601,Prettyboy Elementary,5,75,86,na,na
2019,3,Baltimore County,701,Seventh District Elementary,5,77,90,na,na
2019,3,Baltimore County,772,Hereford High,5,77,na,na,88
2019,3,Baltimore County,801,Sparks Elementary,5,86,99,na,na
2019,3,Baltimore County,803,Lutherville Laboratory,4,70,72,na,na
2019,3,Baltimore County,805,Timonium Elementary,5,79,93,na,na
2019,3,Baltimore County,808,Pot Spring Elementary,4,69,70,na,na
2019,3,Baltimore County,809,Riderwood Elementary,5,82,97,na,na
2019,3,Baltimore County,810,Padonia International Elementary,4,66,61,na,na
2019,3,Baltimore County,811,Pinewood Elementary,5,82,97,na,na
